Zone,Shore_end,VegCom,Total_area,year,Month,Initial_year,InitialVeg_area,InitialPercent_vegarea,Final_year,Final_Veg_Area,Final_percentveg,Percent_change,,Total
Lower,east,mixedveg,0.684961586,0,Aug,2023,0,0,,,,,,
All,west,mixedveg,1.592110668,0,Aug,2023,0.12,7.23,,,,,,
All,east,mixedveg,1.46275895,0,Aug,2023,0.13,8.72,,,,,,
Upper,west,pickleweed,0.395821785,0,Aug,2023,0.13,32.23,,,,,,
Middle,west,pickleweed,0.34019238,0,Aug,2023,0.27,80.41,,,,,,
Lower,west,pickleweed,0.856099166,0,Aug,2023,0.26,30.87,,,,,,
Upper,east,pickleweed,0.440206319,0,Aug,2023,0.23,52.29,,,,,,
Middle,east,pickleweed,0.337588308,0,Aug,2023,0.28,82.45,,,,,,
Lower,east,pickleweed,0.684961586,0,Aug,2023,0.18,26.09,,,,,,
All,west,pickleweed,1.592110668,0,Aug,2023,0.67,41.8,,,,,,
All,east,pickleweed,1.46275895,0,Aug,2023,0.69,46.98,,,,,,
Upper,west,cordgrass,0.395821785,0,Aug,2023,0,0.01,,,,,,
Middle,west,cordgrass,0.34019238,0,Aug,2023,0,0.36,,,,,,
Lower,west,cordgrass,0.856099166,0,Aug,2023,0.52,61.2,,,,,,
Upper,east,cordgrass,0.440206319,0,Aug,2023,0,0,,,,,,
Middle,east,cordgrass,0.337588308,0,Aug,2023,0,0,,,,,,
Lower,east,cordgrass,0.684961586,0,Aug,2023,0.3,44.48,,,,,,
All,west,cordgrass,1.592110668,0,Aug,2023,0.53,32.99,,,,,,
All,east,cordgrass,1.46275895,0,Aug,2023,0.32,21.59,,,,,,
Upper,west,mixedveg,0.395821785,1,Dec,2021,0.07,16.82,2022,0.17255914,43.6,26.8,,
Middle,west,mixedveg,0.34019238,1,Dec,2021,0.01,2.8,2022,0.008235652,2.4,-0.4,,
Lower,west,mixedveg,0.856099166,1,Dec,2021,0,0,2022,0,0,0,,
Upper,east,mixedveg,0.440206319,1,Dec,2021,0.06,13.57,2022,0.140359732,31.9,18.3,,
Middle,east,mixedveg,0.337588308,1,Dec,2021,0,0.31,2022,0.000574758,0.2,-0.1,,
Lower,east,mixedveg,0.684961586,1,Dec,2021,0,0,2022,0,0,0,,
All,west,mixedveg,1.592110668,1,Dec,2021,0.08,4.78,2022,0.180794792,11.4,6.6,,
All,east,mixedveg,1.46275895,1,Dec,2021,0.06,4.16,2022,0.14093449,9.6,5.4,,
Upper,west,pickleweed,0.395821785,1,Dec,2021,0.02,4.48,2022,0.107492708,27.2,22.7,,
Middle,west,pickleweed,0.34019238,1,Dec,2021,0.11,33.27,2022,0.259619218,76.3,43,,
Lower,west,pickleweed,0.856099166,1,Dec,2021,0.15,17.17,2022,0.272648863,31.8,14.6,,
Upper,east,pickleweed,0.440206319,1,Dec,2021,0.06,13.26,2022,0.178862404,40.6,27.3,,
Middle,east,pickleweed,0.337588308,1,Dec,2021,0.13,39.77,2022,0.264758761,78.4,38.6,,
Lower,east,pickleweed,0.684961586,1,Dec,2021,0.13,19.6,2022,0.176086996,25.7,6.1,,
All,west,pickleweed,1.592110668,1,Dec,2021,0.13,8.43,2022,0.639760789,40.2,31.8,,
All,east,pickleweed,1.46275895,1,Dec,2021,0.28,19.36,2022,0.619708161,42.4,23,,
Upper,west,cordgrass,0.395821785,1,Dec,2021,0,0,2022,0,0,0,,
Middle,west,cordgrass,0.34019238,1,Dec,2021,0,0.01,2022,0.000109131,0,0,,
Lower,west,cordgrass,0.856099166,1,Dec,2021,0.19,22.63,2022,0.376025597,43.9,21.3,,
Upper,east,cordgrass,0.440206319,1,Dec,2021,0,0,2022,0,0,0,,
Middle,east,cordgrass,0.337588308,1,Dec,2021,0,0.01,2022,0.000306337,0.1,0.1,,
Lower,east,cordgrass,0.684961586,1,Dec,2021,0.05,7.79,2022,0.140580599,20.5,12.7,,
All,west,cordgrass,1.592110668,1,Dec,2021,0.19,12.17,2022,0.376134728,23.6,11.4,,
All,east,cordgrass,1.46275895,1,Dec,2021,0.05,3.65,2022,0.140886936,9.6,6,,
